"lname","fname","party","state","seat","district","ico.status","cand.gender","recipient.cfscore.dyn","contributor.cfscore","num.givers.total","total.receipts","prim.vote.pct","pwinner","gen.vote.pct","gwinner"
"mcgovern","james","100","MA","federal:house","MA02","I","M",-0.87,-0.752,11071,"1056341.59 USD",0.9944,"W",65.33,"W"
"graves","garret","200","LA","federal:house","LA06","I","M",0.865,1.045,5023,"1782976.83 USD",0.001,"W",71.05,"W"
"visclosky","peter","100","IN","federal:house","IN01","I","M",-0.28,-0.264,5190,"627572.46 USD",NA,NA,NA,NA
"bost","michael","200","IL","federal:house","IL12","I","M",0.757,1.16,6146,"1948780.91 USD",1,"W",60.43,"W"
"loudermilk","barry","200","GA","federal:house","GA11","I","M",1.324,1.313,2548,"899982.15 USD",1,"W",60.43,"W"
"mensing","dale","200","CA","federal:house","CA02","C","M",1.694,1.808,5,"5959.5 USD",0.1885,"L",24.26,"L"
"amata","aumua","200","AS","federal:house","AS01","I","F",0.988,0.983,431,"75727.21 USD",0.001,"W",83.33,"W"
"hill","james","200","AR","federal:house","AR02","I","M",1.032,1.071,5209,"3423234.37 USD",1,"W",55.37,"W"
"pocan","mark","100","WI","federal:house","WI02","I","M",-0.987,-0.886,15161,"1293769.38 USD",0.996,"W",69.67,"W"
"stewart","chris","200","UT","federal:house","UT02","I","M",1.014,1.115,2311,"951886.52 USD",1,"W",59,"W"
"veasey","marc","100","TX","federal:house","TX33","I","M",-0.584,-0.87,4547,"1639811.54 USD",0.6357,"W",66.82,"W"
"williams","roger","200","TX","federal:house","TX25","I","M",1.291,1.235,5028,"2446005.09 USD",0.8757,"W",55.93,"W"
"vela","filemon","100","TX","federal:house","TX34","I","M",-0.292,-0.246,2018,"993228.15 USD",0.7506,"W",55.43,"W"
"sessions","pete","200","TX","federal:house","TX17","C","M",1.197,1.308,10383,"1485908.61 USD",0.3161,"W",55.85,"W"
"cooper","james","100","TN","federal:house","TN05","I","M",-0.485,-0.571,7932,"939747.01 USD",0.5709,"W",99.99,"W"
"wilson","joe","200","SC","federal:house","SC02","I","M",1.124,1.24,8207,"1686288.77 USD",0.7412,"W",55.66,"W"
"clyburn","james","100","SC","federal:house","SC06","I","M",-0.509,-0.676,15136,"3447751.06 USD",1,"W",68.18,"W"
"perry","scott","200","PA","federal:house","PA10","I","M",1.32,1.341,9368,"4020493.92 USD",0.9954,"W",53.24,"W"
"cole","tom","200","OK","federal:house","OK04","I","M",0.781,1.124,7102,"1816062.45 USD",0.7633,"W",67.79,"W"
"ryan","timothy","100","OH","federal:house","OH13","I","M",-0.452,-0.638,308859,"1991087.32 USD",1,"W",52.49,"W"
"joyce","david","200","OH","federal:house","OH14","I","M",0.715,0.918,4747,"2942391.5 USD",0.8312,"W",59.59,"W"
"beatty","joyce","100","OH","federal:house","OH03","I","F",-0.427,-0.633,6602,"2238648.69 USD",0.6812,"W",70.83,"W"
"maloney","carolyn","100","NY","federal:house","NY12","I","F",-0.627,-0.583,13679,"3069723.16 USD",0.4272,"W",82.09,"W"
"king","pete","200","NY","federal:house","NY02","I","M",0.521,0.921,5753,"616672.45 USD",NA,NA,NA,NA
"horsford","steven","100","NV","federal:house","NV04","I","M",-0.719,-0.727,12889,"3516730.34 USD",0.7506,"W",50.67,"W"
"payne","donald","100","NJ","federal:house","NJ10","I","M",-0.661,-0.674,2257,"593734.97 USD",0.8845,"W",83.28,"W"
"holding","george","200","NC","federal:house","NC02","I","M",1.085,1.192,3337,"994848.24 USD",NA,NA,NA,NA
"pittenger","robert","200","NC","federal:house","NC09","C","M",1.192,1.287,4247,"505.7 USD",NA,NA,NA,NA
"rouzer","david","200","NC","federal:house","NC07","I","M",1.213,1.093,4231,"1642500.38 USD",1,"W",60.25,"W"
"wagner","ann","200","MO","federal:house","MO02","I","F",1.276,1.253,25128,"5653505.76 USD",1,"W",51.89,"W"
"lawrence","brenda","100","MI","federal:house","MI14","I","F",-0.49,-0.87,2702,"1087214.74 USD",0.932,"W",79.28,"W"
"kildee","daniel","100","MI","federal:house","MI05","I","M",-0.695,-0.739,12244,"1677147.06 USD",1,"W",54.45,"W"
"lynch","stephen","100","MA","federal:house","MA08","I","M",-0.5,-0.588,8649,"911202.1 USD",0.664,"W",80.68,"W"
"massie","thomas","200","KY","federal:house","KY04","I","M",1.392,1.315,4065,"1464744.63 USD",0.81,"W",67.09,"W"
"brooks","susan","200","IN","federal:house","IN05","I","F",1.196,1.1,3013,"231563.52 USD",NA,NA,NA,NA
