"geoid","party_dem","party_npp","party_rep","voters_gender_m","voters_gender_f","voters_gender_unknkown","commercialdatall_gun_owner","commercialdatall_home_owner_or_renter_likely_homeowner","commercialdatall_home_owner_or_renter_likely_renter","commercialdata_upscalebuyerinhome_avg","commercialdata_familymagazineinhome_avg","commercialdata_femaleorientedmagazineinhome_avg","commercialdata_financialmagazineinhome_avg","commercialdata_gardeningmagazineinhome_avg","commercialdata_healthfitnessmagazineinhome_avg"
361119540001003,47,55,49,80,84,0,22,93,26,1,1,1,1,1,1
360870114011007,6,5,1,11,4,0,2,8,5,1,1,NA,1,NA,NA
360450622001018,37,27,47,60,64,0,7,27,35,NA,2,NA,2,3,2
360470772001002,108,11,5,54,73,0,7,20,97,3,1,1,4,1,2
361031595111019,15,9,10,13,23,0,2,11,8,NA,1,1,NA,3,2
361119542004020,3,4,4,5,7,0,2,11,0,NA,1,NA,1,NA,4
361019611001050,0,0,3,2,1,0,0,2,0,NA,NA,NA,NA,NA,NA
360610299002011,319,58,14,168,231,1,5,3,396,NA,1,1,NA,1,1
360710134003001,109,207,176,268,256,0,39,184,115,1,1,1,2,1,2
360010139023007,45,30,37,65,58,0,11,98,6,1,1,1,2,3,2
360270501021017,9,2,2,6,8,0,0,5,5,NA,1,1,2,1,2
360070124003129,0,1,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA
360010016002002,31,8,1,18,29,0,7,18,19,NA,2,1,2,2,2
360179708014020,1,1,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA
360670018003012,13,6,6,11,16,0,2,10,9,2,2,1,4,NA,1
361130708002026,8,7,20,21,23,0,11,35,0,NA,1,NA,1,3,1
360099603004011,0,0,2,1,1,0,0,2,0,NA,NA,NA,NA,NA,NA
360099617003011,16,14,9,19,25,0,4,16,14,NA,NA,NA,NA,NA,1
360259703003069,0,2,1,1,2,0,0,2,0,NA,NA,NA,NA,NA,NA
360910613011007,123,98,125,173,188,0,41,103,216,2,1,1,2,1,1
360110412005011,1,1,7,5,4,0,0,7,0,NA,NA,NA,NA,NA,2
360595211003008,10,12,24,22,29,0,10,33,12,1,1,NA,1,NA,2
360710142012032,10,6,2,8,10,0,2,6,8,NA,3,1,NA,1,6
360471058043000,1486,287,96,652,1266,1,42,3,1916,1,1,1,1,1,1
360595190006006,38,31,50,54,67,0,11,48,39,1,2,1,2,1,2
361031471002024,6,0,0,3,3,0,1,3,0,NA,4,NA,1,1,1
360070138004001,8,8,8,14,14,0,6,15,4,2,2,1,2,NA,2
361059505003033,7,3,3,5,8,0,0,0,12,NA,NA,NA,NA,NA,NA
360750213003038,4,2,3,5,5,0,3,8,1,NA,1,NA,NA,NA,2
360811571017003,33,12,19,31,36,0,6,29,24,NA,1,NA,NA,NA,1
360430110021063,0,0,1,1,0,0,0,0,0,NA,3,NA,4,4,7
360290027023007,23,9,6,20,19,0,2,3,30,NA,1,NA,1,NA,3
360470520002001,46,8,3,29,28,0,5,10,39,NA,2,1,1,NA,2
361031122113004,10,10,1,11,12,0,3,21,0,NA,1,1,2,NA,1
360630222003025,22,6,15,28,27,0,8,15,26,NA,1,1,2,NA,1
360070119021042,0,0,3,2,1,0,0,3,0,NA,2,1,NA,NA,2
360670109002023,0,0,3,1,2,0,1,3,0,NA,NA,NA,NA,NA,1
360359705001006,0,0,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA
